name,side-a,side-b,side-c
ut,60,5,22
neque,20,93,64
augue,11,6,83
a,100,15,7
lacinia,18,33,20
elit,31,9,49
mauris,19,27,51
amet,84,46,25
sollicitudin,13,32,58
cubilia,13,8,58
vel,30,99,50
amet,28,84,2
nulla,36,91,85
aliquet,90,93,44
in,72,16,42
libero,95,77,28
mauris,83,85,64
morbi,72,70,12
odio,42,65,37
phasellus,78,23,23
porttitor,42,42,51
viverra,22,13,55
at,25,2,42
aenean,30,35,98
viverra,37,29,20
tempus,67,32,83
primis,35,30,57
consequat,12,70,96
posuere,58,15,41
leo,39,17,99
nec,7,23,82
sem,12,72,20
id,35,84,78
suscipit,46,14,89
magnis,8,69,8
in,100,85,25
etiam,41,90,50
et,32,27,55
primis,20,97,87
at,29,14,71
est,68,41,4
accumsan,5,7,92
est,89,8,11
dictumst,44,5,95
duis,77,52,73
in,95,4,18
montes,58,83,6
ut,31,40,47
mattis,44,33,66
etiam,41,35,90
nulla,12,86,32
nulla,39,13,85
tellus,90,41,91
in,15,73,84
pede,39,11,51
dis,29,51,83
a,71,71,29
donec,90,43,44
at,86,54,22
purus,69,3,64
hac,21,32,54
lorem,97,4,95
eros,54,93,83
turpis,29,26,46
sed,36,82,84
nulla,31,100,53
in,7,39,74
a,6,42,22
nonummy,5,51,18
ipsum,89,42,52
enim,62,57,48
dapibus,85,56,72
facilisi,96,92,13
integer,16,10,2
consequat,14,32,100
vel,55,76,97
a,57,8,52
pede,15,27,90
vestibulum,74,20,16
dis,40,52,37
cubilia,6,93,42
at,23,55,33
blandit,92,64,82
sed,82,31,33
turpis,86,81,8
sem,35,93,50
sapien,33,60,85
in,34,81,55
donec,47,37,12
donec,95,79,8
vitae,49,2,30
dolor,53,60,3
sem,60,62,84
odio,10,56,23
mauris,36,25,16
platea,17,53,97
mattis,100,27,16
tincidunt,7,39,52
mattis,52,98,21
tortor,11,45,33
mus,61,55,38
amet,40,93,76
nec,60,77,65
suspendisse,88,64,79
in,62,68,41
non,51,61,42
in,99,57,53
libero,88,89,3
facilisi,53,83,27
sagittis,13,64,76
quam,84,71,53
fermentum,8,86,7
non,69,86,66
nulla,63,57,93
sit,35,87,29
eu,82,66,6
sapien,73,84,67
pede,47,15,63
at,84,93,94
purus,92,58,16
ante,89,36,8
nam,89,58,70
rutrum,26,23,9
vivamus,79,10,42
leo,4,1,20
sapien,20,100,92
felis,27,31,82
erat,71,34,53
bibendum,78,12,29
arcu,60,97,62
erat,38,25,21
justo,41,39,74
eu,29,89,63
luctus,20,86,99
dolor,49,97,46
nibh,21,64,91
imperdiet,7,68,2
eleifend,11,51,73
ac,11,23,29
porttitor,85,22,100
urna,49,87,64
mattis,90,1,33
vitae,52,34,25
nec,31,3,32
nibh,74,3,92
ipsum,78,98,27
amet,81,11,28
lobortis,89,61,12
ipsum,70,4,61
penatibus,62,70,18
proin,93,67,75
lobortis,36,23,40
nulla,100,8,92
praesent,85,89,40
a,32,55,89
sed,29,28,70
risus,81,54,97
lobortis,84,53,27
vestibulum,38,73,36
auctor,99,28,52
malesuada,100,97,41
in,68,61,7
justo,63,1,66
nisl,93,49,91
rhoncus,12,94,1
orci,65,10,23
id,43,32,15
primis,58,22,82
erat,29,58,53
suspendisse,15,61,23
augue,34,9,36
justo,31,18,78
tortor,75,23,69
placerat,95,95,2
morbi,41,28,15
purus,61,8,47
sed,66,100,11
maecenas,57,56,74
in,17,25,36
mauris,99,65,39
accumsan,100,69,96
adipiscing,91,80,9
sapien,38,6,36
neque,4,68,79
sed,26,85,39
volutpat,49,19,74
volutpat,13,35,55
vulputate,92,31,39
habitasse,45,93,88
nulla,20,72,89
nam,18,2,45
lacinia,95,17,56
morbi,98,63,51
at,41,45,21
donec,4,50,69
dictumst,69,48,34
suspendisse,53,48,9
sodales,42,11,81
pellentesque,78,73,4
sapien,7,22,60
vitae,65,6,91
donec,43,93,46
orci,22,58,50
pede,93,12,67
nascetur,37,4,73
morbi,65,47,68
ultricies,1,88,96
lectus,100,62,73
pede,26,70,55
luctus,28,13,61
pharetra,45,45,99
tempor,29,94,64
rhoncus,42,89,75
pulvinar,94,6,65
ligula,52,54,99
proin,84,10,77
curae,20,58,93
ac,25,3,33
vestibulum,62,25,48
nec,89,14,76
curabitur,85,27,48
erat,51,15,3
vestibulum,40,72,21
non,31,100,60
tristique,82,28,37
blandit,32,77,46
consequat,25,17,83
orci,22,72,66
sit,78,53,99
in,38,35,24
sapien,56,5,26
aenean,43,58,6
est,97,33,21
tristique,82,97,20
ipsum,15,52,91
mattis,16,85,61
quis,44,53,51
vel,95,50,81
velit,36,97,81
eu,82,12,66
magnis,11,41,18
magna,60,95,79
gravida,30,61,99
integer,94,12,96
a,26,87,74
tincidunt,56,27,43
sagittis,28,9,52
dui,20,29,27
eget,41,59,12
cum,67,85,53
curabitur,94,36,82
ut,16,98,37
ut,37,99,96
cum,34,32,80
pulvinar,79,12,17
non,4,19,7
eu,12,17,85
turpis,89,33,17
tempor,70,91,37
turpis,37,98,4
leo,84,52,82
pulvinar,34,24,39
felis,40,100,56
vivamus,86,28,88
quisque,59,15,8
lectus,93,83,22
montes,63,20,28
nisi,17,8,97
posuere,64,10,39
convallis,50,45,34
nisi,42,34,83
mi,29,16,73
egestas,94,18,53
dui,75,90,1
cum,57,79,61
nisi,96,71,35
at,82,1,14
nunc,38,90,30
amet,94,30,31
primis,2,19,64
eu,69,98,27
augue,72,99,47
faucibus,68,41,72
vel,24,26,26
maecenas,94,45,19
duis,21,83,68
integer,98,21,81
sagittis,21,2,5
metus,64,69,53
mauris,40,1,37
rutrum,81,52,95
metus,28,15,15
nulla,73,8,54
velit,66,14,85
nulla,47,49,41
morbi,84,92,73
quis,69,68,11
cum,12,11,38
venenatis,39,94,70
mauris,18,72,89
quis,19,83,53
turpis,74,3,35
purus,63,97,5
blandit,95,34,66
consequat,28,91,39
habitasse,80,31,22
nunc,19,50,14
accumsan,53,57,46
aliquet,94,47,76
vehicula,88,50,46
quam,28,47,68
vehicula,96,53,46
vitae,81,47,91
in,74,32,65
bibendum,31,21,16
nulla,73,98,33
morbi,99,92,82
sapien,14,18,27
amet,10,40,40
maecenas,57,66,31
vel,23,12,40
tortor,79,38,61
rhoncus,81,37,100
ut,13,16,54
est,82,52,35
id,82,48,23
semper,43,99,36
gravida,21,57,85
velit,64,38,16
odio,42,83,10
venenatis,16,44,64
vestibulum,32,82,54
leo,35,14,63
cubilia,89,25,30
eu,6,28,99
aliquam,12,29,49
quam,38,85,26
justo,55,18,90
lacinia,21,78,76
nec,85,15,100
sed,43,41,68
lectus,16,53,87
cursus,8,16,86
enim,64,54,58
porttitor,31,84,55
id,55,68,57
diam,36,13,14
eget,73,95,77
in,45,33,1
suscipit,59,22,88
faucibus,13,18,34
pede,14,95,32
odio,85,81,78
elementum,26,90,11
diam,43,41,38
felis,54,3,41
turpis,46,5,90
lorem,99,76,87
orci,80,64,38
mattis,23,98,97
nascetur,19,47,95
a,71,27,82
turpis,54,1,62
quisque,17,54,80
dapibus,55,58,36
turpis,54,32,83
placerat,47,99,33
sed,93,6,67
ac,84,62,54
et,80,73,92
ut,75,5,77
volutpat,95,50,66
lectus,51,79,2
augue,56,58,49
in,51,59,69
nisl,51,94,2
morbi,6,36,16
ipsum,44,76,23
turpis,51,6,96
pede,12,80,43
vitae,97,31,41
orci,76,20,61
metus,92,2,44
sed,83,60,83
metus,63,52,95
et,71,17,3
urna,7,46,51
eget,59,39,12
dis,88,19,15
ut,10,67,34
tortor,42,12,42
nisi,47,60,45
elit,38,11,62
ipsum,6,85,64
nulla,67,6,8
consequat,98,47,65
sollicitudin,81,70,13
magna,14,32,27
vestibulum,65,75,100
laoreet,49,57,46
dui,85,65,6
curabitur,74,68,54
sapien,77,46,40
gravida,34,26,23
vestibulum,84,98,92
gravida,87,69,15
ut,47,63,86
nulla,35,59,98
orci,6,26,56
non,37,69,41
quam,49,70,40
lacus,90,67,91
cras,54,56,53
dolor,78,7,76
ridiculus,6,49,74
eget,25,37,64
habitasse,6,55,79
amet,87,25,72
sed,5,82,9
in,11,86,58
est,10,23,39
et,12,69,70
felis,31,17,90
sit,62,20,78
ligula,55,29,90
convallis,75,78,37
pellentesque,30,38,80
id,68,82,76
nullam,56,22,72
eleifend,27,54,77
mauris,96,58,15
ut,13,36,18
nam,56,39,8
platea,58,28,27
primis,88,58,68
nibh,43,61,95
felis,98,53,49
placerat,36,92,11
pulvinar,61,73,50
nulla,74,62,72
aliquet,18,13,83
nunc,76,68,7
blandit,82,98,76
hac,69,25,38
velit,19,6,73
volutpat,72,97,53
non,19,53,49
sollicitudin,15,91,28
volutpat,47,24,59
libero,60,71,76
amet,51,46,44
nullam,4,7,33
ultrices,65,78,26
libero,78,88,13
felis,54,36,22
vel,22,85,53
sit,68,3,12
sed,51,67,49
elit,44,6,80
convallis,53,56,18
montes,2,51,68
augue,32,54,67
dolor,54,25,14
tincidunt,46,55,47
amet,10,96,62
amet,93,15,2
quam,49,13,89
venenatis,51,70,98
donec,66,43,74
sagittis,69,56,4
eu,13,55,58
mi,60,60,97
orci,64,85,44
aenean,28,54,88
magna,48,67,28
phasellus,90,77,68
rhoncus,29,54,98
suscipit,55,93,92
convallis,84,45,56
ante,2,7,52
odio,12,26,80
tortor,6,73,39
justo,56,16,59
ipsum,34,49,19
quam,29,46,83
vestibulum,61,18,85
non,86,38,92
erat,90,5,29
ut,99,26,41
nullam,42,43,87
consectetuer,55,19,100
sapien,63,39,11
mauris,52,19,52
ipsum,18,85,100
ligula,40,99,79
odio,37,83,39
semper,81,12,18
dolor,91,99,10
felis,63,94,99
mattis,84,10,46
pharetra,92,61,77
tempor,11,37,31
tincidunt,72,24,20
dapibus,45,71,26
sapien,45,82,35
tristique,94,85,17
montes,21,36,30
eu,32,49,19
nascetur,80,96,6
magnis,20,35,73
sit,61,31,48
sit,84,3,60
posuere,6,58,82
leo,56,6,69
dapibus,55,43,39
orci,2,65,20
etiam,76,41,12
massa,10,86,80
quisque,40,15,25
nulla,37,17,61
primis,57,69,76
aliquet,17,81,12
eu,41,39,6
ultrices,91,39,96
id,31,53,53
adipiscing,100,29,20
blandit,99,70,75
fusce,21,67,18
imperdiet,50,38,51
odio,22,80,34
quis,51,94,90
donec,44,74,62
ut,64,64,10
id,2,70,17
est,56,28,85
nam,72,77,92
adipiscing,67,99,51
amet,8,70,1
sed,51,54,77
suscipit,15,71,26
duis,6,19,87
quam,14,25,81
penatibus,34,3,38
facilisi,20,65,20
tellus,84,96,4
aliquam,15,35,5
tristique,53,39,52
felis,40,94,69
nec,86,90,32
lobortis,61,53,69
urna,6,86,18
lobortis,92,99,29
pellentesque,81,54,70
mi,8,93,78
eu,8,69,5
odio,47,75,96
ut,34,96,24
dapibus,43,87,15
rhoncus,21,47,25
sit,25,61,80
pede,2,100,22
phasellus,76,44,14
tempus,31,69,34
venenatis,12,74,54
sem,53,76,51
ornare,42,27,59
tincidunt,25,55,86
a,90,7,9
nisl,12,3,34
vivamus,85,40,91
sit,86,99,49
ultricies,38,19,75
nisi,83,14,26
volutpat,22,91,6
vestibulum,46,39,73
odio,64,7,51
id,5,23,83
luctus,88,15,42
nulla,74,39,44
ultrices,36,91,87
sed,34,13,6
pellentesque,67,30,32
nunc,66,74,82
phasellus,53,97,50
magna,84,75,38
et,89,55,93
mauris,24,39,94
consequat,84,56,30
amet,81,92,26
mi,66,38,3
est,84,61,8
sollicitudin,16,29,28
tellus,72,3,23
donec,46,26,16
rhoncus,64,13,94
congue,72,29,47
sit,89,37,49
pretium,99,38,86
consectetuer,16,95,87
augue,58,82,61
et,64,86,95
nulla,48,26,100
vestibulum,47,76,52
lectus,7,63,53
semper,72,17,99
quisque,10,41,24
praesent,45,60,26
curabitur,68,26,6
tellus,67,94,50
id,26,65,20
interdum,8,55,4
quisque,87,98,98
bibendum,93,64,19
cras,18,59,52
eget,75,100,41
felis,51,69,10
ac,79,75,62
eu,42,8,45
in,82,82,43
luctus,53,85,97
velit,54,40,4
in,30,5,14
habitasse,75,17,35
ac,23,40,32
aliquam,86,61,47
ultrices,91,40,40
blandit,92,27,39
nulla,71,14,30
et,74,32,12
lacus,92,4,44
a,76,64,92
ipsum,70,57,59
eleifend,14,85,2
at,85,86,94
ipsum,67,5,18
volutpat,38,22,56
lacus,63,58,13
justo,6,16,36
eu,61,73,96
sem,16,13,3
felis,34,45,9
velit,55,87,44
sed,72,67,20
nisi,28,27,97
luctus,69,76,57
vulputate,35,64,14
amet,10,74,91
aliquet,54,22,86
justo,14,60,78
nam,72,85,96
diam,73,44,83
vulputate,89,87,23
nec,6,23,46
sem,99,62,63
velit,28,20,77
facilisi,17,45,23
vestibulum,49,97,32
lectus,100,14,11
donec,94,34,38
porttitor,92,10,99
sapien,15,75,84
vel,1,67,45
risus,53,75,34
blandit,74,74,40
turpis,60,96,81
sed,34,77,16
mi,61,28,11
a,92,34,66
ac,91,54,9
parturient,5,96,13
in,85,81,22
dictumst,52,77,70
enim,44,34,85
morbi,8,81,10
justo,69,51,92
morbi,76,99,70
sollicitudin,22,9,34
porta,11,50,51
amet,23,97,100
eget,6,64,57
nisl,50,60,34
faucibus,77,46,37
magna,95,1,29
integer,67,8,98
nec,65,5,98
magna,32,62,57
nisl,14,62,78
nunc,22,42,20
ante,87,84,26
quis,49,10,99
nascetur,51,61,14
in,95,56,18
morbi,32,58,62
nisi,37,82,12
amet,46,17,63
ante,98,29,56
massa,59,74,81
nisi,39,47,35
turpis,87,50,50
morbi,49,11,13
nisi,99,90,61
ipsum,85,26,4
risus,28,91,66
id,77,23,18
platea,13,88,21
dui,69,36,6
porttitor,9,87,11
purus,39,17,67
praesent,47,24,21
integer,49,42,95
aliquet,2,47,48
integer,36,16,25
ut,62,51,14
sed,90,74,96
nullam,27,10,6
penatibus,53,81,37
vestibulum,2,84,80
odio,37,68,49
hac,42,5,75
primis,39,26,91
fusce,85,20,69
elementum,56,27,76
lacus,44,28,46
duis,82,78,26
fermentum,55,97,60
scelerisque,57,28,76
iaculis,41,21,28
platea,42,37,9
quam,63,95,68
hendrerit,67,47,2
dapibus,38,92,47
integer,99,56,70
sapien,3,87,95
neque,95,23,87
ac,73,89,84
pulvinar,36,73,46
